X,Y,Distancia,Angulo
25,445,566.745974842345,145.13221156580477
28,522,611.7556701821406,139.04315100370914
30,621,679.4115100585211,132.6140559696112
37,500,590.6352512337882,140.08264452417927
38,537,614.2963454229563,137.37496151576138
50,532,602.0971682378186,136.95174485094
54,635,674.0118693316906,130.30624335156293
57,519,588.1266870326494,137.41175423013541
62,438,532.6096131314192,143.4743462299892
69,550,601.0673839096578,134.46076152635766
79,496,556.3685828657115,137.6224014605411
79,515,569.3478725700132,136.20979316088955
81,531,579.1208854807431,134.9300418180219
84,484,544.6145425895272,138.20046237662928
89,464,527.683617331446,139.4575910274928
92,500,549.5862079783299,136.40077594381276
93,601,622.9036843686189,129.5935835639486
99,544,576.0295131327908,132.74874530948748
100,467,521.359760626,138.4212192764293
102,485,532.0150373814635,136.82796824430503
108,498,536.7056921628464,135.377437093012
108,536,564.0469838586143,132.62900711470087
118,448,495.29082365818164,138.6834863891605
118,617,620.0,126.86989764584402
121,577,586.5978179297977,128.98014873135105
123,476,510.6016059512543,135.95219675191188
129,559,567.5958068907838,129.49537815892674
134,572,574.5754954747026,128.286043860917
135,548,555.296317293749,129.73951649907985
139,511,524.6913378358747,131.98721249581666
140,496,512.9571132170797,133.02506598911802
141,521,530.849319487178,131.1046978169545
144,629,614.6381049040159,124.25886975494349
153,487,497.51884386422995,132.63778654375818
155,625,605.1784860683664,123.61129244338008
158,567,556.0035971106662,126.6637986084599
170,600,576.0564208478194,123.74523917913753
173,476,475.9348694937155,131.76350685640017
177,522,508.6944072820145,127.97376937995979
181,560,536.8444839988579,125.14065838971523
190,565,535.8507254823866,124.04593735660167
192,535,510.09802979427394,125.74659493176858
193,523,499.8129650179155,126.45721009232429
195,580,545.6244129435559,122.72891685912649
203,606,563.5547888182657,120.61503424339962
204,528,497.43843840218057,125.09581678702612
207,622,575.4042057545287,119.46081315054457
212,560,519.6200535006324,122.34433837373983
217,635,582.0008591058952,117.97404067618072
219,622,569.5981039294285,118.40976068469551
235,464,427.4037903435111,126.62859724017537
235,532,483.6796460468437,121.81703484145916
240,565,509.5448949798241,119.38225462297972
242,512,463.0172782953137,122.38577542260303
242,578,519.954805728344,118.48733768921922
245,537,482.78463107269687,120.49563091727916
257,596,529.0689936104742,116.12916608204698
263,489,432.3806193621541,121.66827047446188
266,589,518.8448708429139,115.57729077743818
273,526,459.47143545600306,118.18251582283504
277,491,426.9297366077936,119.92798746458108
290,578,498.84767214050424,113.63595438116892
297,555,474.97894690186007,113.97473689647651
302,471,397.29585953040083,118.24215117050827
308,506,425.85091287914366,115.30137862541973
316,558,470.3668780856067,111.71093063615616
318,502,418.0251188624913,114.29649022111849
323,513,426.09036600233054,113.07499426265132
323,536,447.34103321738775,111.920329571944
